year,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,latitude,longitude,score,price_per_square_meter,region,storey_range_numeric
2025,1,KALLANG/WHAMPOA,3 ROOM,97,WHAMPOA DR,04 TO 06,66,Improved,1980,54.67,371000,1.3216648,103.8551658,40.99106316,5621.212121,Central,5
2025,1,KALLANG/WHAMPOA,4 ROOM,99,WHAMPOA DR,04 TO 06,91,Improved,1974,48.33,490000,1.32089,103.853848,42.26551075,5384.615385,Central,5
2025,1,TOA PAYOH,4 ROOM,106A,BIDADARI PK DR,04 TO 06,94,Model A,2020,94.75,945000,1.334387,103.8712334,49.11196252,10053.19149,Central,5
2025,1,MARINE PARADE,5 ROOM,14,MARINE TER,25 TO 27,122,Standard,1975,49.17,1065000,1.3035332,103.915396,40.97111027,8729.508197,East,26
2025,1,TAMPINES,4 ROOM,730,TAMPINES ST 71,01 TO 03,101,Model A,1997,72.08,640000,1.356669,103.9335203,40.15233085,6336.633663,East,2
2025,1,TAMPINES,4 ROOM,491F,TAMPINES ST 45,07 TO 09,105,Model A,1993,67.67,605000,1.3629833,103.9548803,43.31111629,5761.904762,East,8
2025,1,WOODLANDS,4 ROOM,784C,WOODLANDS RISE,04 TO 06,93,Model A,2018,92.67,585000,1.4459185,103.805352,43.02773375,6290.322581,North,5
2025,1,YISHUN,4 ROOM,509B,YISHUN AVE 4,04 TO 06,93,Model A,2018,92.42,611000,1.4138057,103.8401625,45.02773375,6569.892473,North,5
2025,1,SEMBAWANG,5 ROOM,108C,CANBERRA WALK,01 TO 03,113,Improved,2018,92.5,670000,1.4474369,103.8315873,46.11854367,5929.20354,North,2
2025,1,WOODLANDS,4 ROOM,183C,WOODLANDS ST 13,13 TO 15,93,Model A,2019,93.92,688000,1.4346478,103.7767455,52.04257788,7397.849462,North,14
2025,1,PUNGGOL,4 ROOM,603A,PUNGGOL RD,10 TO 12,93,Model A,2012,86.83,650000,1.4036223,103.9082399,51.93866893,6989.247312,North-East,11
2025,1,ANG MO KIO,3 ROOM,559,ANG MO KIO AVE 10,10 TO 12,68,New Generation,1980,54.17,412888,1.3710214,103.8578536,41.10014415,6071.882353,North-East,11
2025,1,ANG MO KIO,EXECUTIVE,616,ANG MO KIO AVE 4,07 TO 09,149,Apartment,1996,70.5,1100000,1.3777243,103.8391521,45.75543054,7382.550336,North-East,8
2025,1,SENGKANG,5 ROOM,203B,COMPASSVALE RD,07 TO 09,110,Improved,2001,75.17,678000,1.3868148,103.8946608,47.70257186,6163.636364,North-East,8
2025,1,ANG MO KIO,3 ROOM,457,ANG MO KIO AVE 10,07 TO 09,75,New Generation,1980,54.17,440000,1.3657952,103.8587975,38.48192762,5866.666667,North-East,8
2025,1,PUNGGOL,4 ROOM,104B,EDGEFIELD PLAINS,04 TO 06,90,Model A,2003,77.5,560000,1.3966759,103.9053103,51.64145021,6222.222222,North-East,5
2025,1,BUKIT PANJANG,5 ROOM,176,LOMPANG RD,07 TO 09,121,Improved,1997,71.92,840000,1.3792794,103.7658726,58.24314078,6942.14876,West,8
2025,1,BUKIT BATOK,3 ROOM,127,BT BATOK WEST AVE 6,04 TO 06,73,Model A,1985,59.17,423888,1.351874,103.7460874,54.44706731,5806.684932,West,5
2025,1,JURONG EAST,3 ROOM,20,TEBAN GDNS RD,28 TO 30,72,Model A,2013,87.83,535000,1.3220275,103.7413658,38.80816264,7430.555556,West,29
2025,1,CHOA CHU KANG,5 ROOM,131,CHOA CHU KANG AVE 1,10 TO 12,125,Improved,1993,67.67,661099,1.381542,103.7509996,60.40192622,5288.792,West,11
2025,1,JURONG WEST,5 ROOM,328,TAH CHING RD,13 TO 15,121,Improved,1997,71.75,665000,1.3369152,103.722661,46.24314078,5495.867769,West,14
