Feature,Importance,Normalized Importance
floor_area_sqm,22959287421.68188,1.0
region_North-East,13695773489.338873,0.5965243275104916
region_West,12784973658.122606,0.5568541141241589
region_North,11408933444.583605,0.4969201889867645
year,10150470376.528868,0.4421073786002238
remaining_lease,9767378599.221008,0.42542167881033915
storey_range_numeric,3822581667.533134,0.16649391583134382
region_East,3467975248.837542,0.15104890605457197
Score,2741252998.5144525,0.11939625773950271
flat_type_4 ROOM,24795221.785703182,0.0010799647798427538
flat_type_5 ROOM,18335074.36781025,0.0007985907415617482
flat_type_3 ROOM,14352023.941837788,0.0006251075513904791
flat_type_EXECUTIVE,10238247.368330479,0.0004459305369670082
flat_type_2 ROOM,6840906.784590244,0.00029795814909002583
flat_type_MULTI-GENERATION,330463.90340948105,1.4393473862668903e-05
